Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Disabled (uV),F3 (uV),Fz (uV),F4 (uV),Disabled (uV),C3 (uV),Cz (uV),C4 (uV),Disabled (uV),P3 (uV),Pz (uV),P4 (uV),Disabled (uV),Disabled (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
,-2930,17,7,,10,-3,-3,,-2,4,-7,,-7,-5,,,,-6,,,,,
,-3094,27,,,-14,3,-5,,-4,2,8,,-1,-6,-11,,,4,,,,,
,3965,-40,-5,,8,1,2,,-9,12,-3,,13,12,8,,,-5,,,,,
,-3255,-13,-4,,-9,2,4,,-1,-4,-11,,,-1,-1,,,7,,,,,
,7441,13,8,,15,-3,-1,,16,-13,14,,-4,3,6,,,-4,,,,,
,-3660,-8,-6,,-3,-7,-1,,-9,-7,-17,,2,-20,-4,,,2,,,,,
,-3070,-3,5,,-7,7,-5,,-1,5,3,,,6,-8,,,4,,,,,
,392,-6,-3,,5,7,-5,,10,15,15,,3,13,-9,,,-10,,,,,
,3330,13,-2,,6,8,12,,2,8,-7,,10,8,18,,,17,,,,,
,-3642,-6,14,,-7,-15,4,,-2,-13,-2,,-3,-5,7,,,-5,,,,,
,8540,-20,-19,,-7,-7,-15,,2,-20,-8,,-10,-18,-12,,,-9,,,,,
,-3289,,-2,,,12,-4,,-5,-3,2,,-6,4,-6,,,5,,,,,
,-643,17,15,,9,-1,5,,1,16,-1,,-7,8,1,,,4,,,,,
,-3274,14,-9,,7,-15,12,,4,3,9,,-2,11,9,,,4,,,,,
,-3285,-11,-4,,-13,1,-9,,-17,-10,-10,,6,-12,-11,,,1,,,,,
,3793,,7,,3,12,4,,3,4,4,,-1,-8,-3,,,-7,,,,,
,-531,-16,-5,,-3,-1,,,8,-10,14,,,5,-5,,,10,,,,,
,7787,-4,3,,5,-4,10,,1,11,5,,-1,-10,6,,,-10,,,,,
,-3297,8,16,,6,5,-9,,3,9,-3,,6,14,9,,,1,,,,,
,-2597,3,-5,,-1,-2,-6,,4,-4,-14,,-3,-5,3,,,5,,,,,
,-2191,-7,1,,13,,17,,8,5,14,,3,16,9,,,-8,,,,,
,-2023,13,-1,,-9,12,-2,,-2,7,4,,5,8,12,,,-3,,,,,
,-134,-25,-6,,-3,7,-2,,-3,2,-1,,-1,-5,,,,5,,,,,
,13249,-2,-2,,-9,-5,-10,,-14,-11,-5,,-11,-11,-17,,,-2,,,,,
,-3696,10,-6,,2,-11,-9,,4,-11,-25,,-5,-3,-11,,,,,,,,
,-3007,-10,-6,,-5,-2,-11,,6,-1,9,,16,5,-6,,,-1,,,,,
,319,1,11,,18,16,38,,-4,18,6,,11,13,22,,,3,,,,,
,-3707,-21,1,,-8,-12,6,,-2,-6,5,,-9,-7,-7,,,-1,,,,,
,-244,-1,-2,,-9,-5,-18,,-13,-3,7,,-4,-9,2,,,-1,,,,,
,1798,-7,14,,9,14,3,,9,19,,,7,9,2,,,-6,,,,,
,-3251,-3,-3,,2,-3,-2,,9,-21,-8,,-3,,-12,,,-4,,,,,
