Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Fp2 (uV),F3 (uV),Fz (uV),F4 (uV),T3 (uV),C3 (uV),Cz (uV),C4 (uV),T4 (uV),P3 (uV),Pz (uV),P4 (uV),O1 (uV),O2 (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
,-531,7,,,,,,,,,,809,,,,428,,-31,-16,-2,-2,,
,708,-1,,,,,,,,,,2081,,,,1245,,-7,-14,-10,-20,,
,-657,-5,,,,,,,,,,-57,,,,-88,,36,23,-4,17,,
,368,1,,,,,,,,,,-1777,,,,-1183,,-1,8,-4,-2,,
,1613,-27,,,,,,,,,,-777,,,,-575,,-4,-12,27,-6,,
,5217,2,,,,,,,,,,809,,,,419,,-30,22,-10,,,
,-3632,-17,,,,,,,,,,1935,,,,1102,,18,-14,-3,15,,
,-1467,22,,,,,,,,,,-269,,,,-290,,6,-8,5,-5,,
,-1853,-21,,,,,,,,,,-1737,,,,-1145,,-31,-11,-11,-2,,
,905,-1,,,,,,,,,,-413,,,,-215,,-2,5,1,,,
,-1307,-22,,,,,,,,,,794,,,,400,,19,1,4,5,,
,-93,2,,,,,,,,,,1650,,,,820,,-1,2,7,-2,,
,664,-12,,,,,,,,,,-441,,,,-448,,26,8,-12,-11,,
,-323,2,,,,,,,,,,-1697,,,,-1107,,9,-7,7,7,,
,-130,7,,,,,,,,,,-721,,,,-532,,-4,-4,4,,,
,202,2,,,,,,,,,,759,,,,346,,-20,21,-12,-6,,
,386,-23,,,,,,,,,,1823,,,,1000,,-1,-16,9,14,,
,-622,-6,,,,,,,,,,-255,,,,-246,,46,-3,7,-10,,
,75,,,,,,,,,,,-1777,,,,-1189,,-3,4,-18,4,,
,-125,7,,,,,,,,,,-558,,,,-368,,4,-14,,-3,,
,129,-7,,,,,,,,,,984,,,,562,,-29,18,6,-7,,
,165,-20,,,,,,,,,,1895,,,,1072,,48,-5,-1,4,,
,997,,,,,,,,,,,-427,,,,-403,,10,15,-5,9,,
,-1065,2,,,,,,,,,,-1780,,,,-1191,,-3,-1,19,1,,
,218,-21,,,,,,,,,,-727,,,,-550,,-38,-10,-9,-3,,
